Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
29,0.0,0.2975,"혁신, 한국은행, 네트워크, 자본, 분산원장기술, 단어, 소액결제, 디파이, 자본주의, 노드",데이터 디지털 혁신 잠재력 분산 연구소 도움 심화 비약 역량
30,5.0,0.6581,"데이터, 빅, 중국, 대출, 인공지능, 혁명, 빅데이터, 신용, 금융서비스, 인터넷",데이터 빅데이터 혁명 인공지능 지능 법 빅 스위스 모음 테이터
31,4.0,0.3851,"무현금, 오픈, 모바일, 스마트폰, 송금, 이노베이션, 테크놀로지, 우리나라, 신용카드, 벤처",블록체인 은행 테크놀로지 토회 검 조작 이력 우리나라 변호사 방침
32,9.0,0.4388,"인터넷, 예금, 증권, 카드, 인도, 계좌, 경로, 모형, 상거래, 인증",블록체인 인터넷 커뮤니케이션 신문 장래 게재 전력 복지 매매 생략
33,7.0,0.5655,"법, 인공지능, 보험, 책임, 기초, 장래, 거대, 이원, 리, 테일",리 법 테일 가상화폐 상태 결여 분계 정합 글로벌 선불
34,4.0,0.5731,"무현금, 오픈, 모바일, 스마트폰, 송금, 이노베이션, 테크놀로지, 우리나라, 신용카드, 벤처",무현금 모바일 인 데이터 스토어 장애 도쿄 빅 올림픽 개최
35,5.0,0.2364,"데이터, 빅, 중국, 대출, 인공지능, 혁명, 빅데이터, 신용, 금융서비스, 인터넷",핀테크 차별 폐지 급속 마지막 원터치 아이디어 걸림돌 미흡 습관
36,0.0,0.6156,"혁신, 한국은행, 네트워크, 자본, 분산원장기술, 단어, 소액결제, 디파이, 자본주의, 노드",지급결제 핀테크 혁신 간접 소액결제 허용 은행 쏠림 개편 처분
37,9.0,0.6325,"인터넷, 예금, 증권, 카드, 인도, 계좌, 경로, 모형, 상거래, 인증",예금 카드 위조 인출 은행 판례 사건 예금자 인터넷 시행
38,0.0,0.3938,"혁신, 한국은행, 네트워크, 자본, 분산원장기술, 단어, 소액결제, 디파이, 자본주의, 노드",핀테크 혁신 강조 브렉 시트 필수 중심지 P2P 대출 유치
39,0.0,0.6174,"혁신, 한국은행, 네트워크, 자본, 분산원장기술, 단어, 소액결제, 디파이, 자본주의, 노드",혁신 자산 여유 폭 증대 관행 상승 실물 자본 자본주의
40,1.0,0.5526,"통화, 중앙은행, 발행, 화폐, 암호자산, 코인, 스테이블, 법정통화, 페이스북, 가상화폐",세기 유동 화폐 일련 유효 자본주의 퇴장 프레임워크 중앙은행 경제학
41,4.0,0.5729,"무현금, 오픈, 모바일, 스마트폰, 송금, 이노베이션, 테크놀로지, 우리나라, 신용카드, 벤처",은행 혁신 니즈 대두 충족 핀테크 인터페이스 신규진 상실 은행업
42,4.0,0.328,"무현금, 오픈, 모바일, 스마트폰, 송금, 이노베이션, 테크놀로지, 우리나라, 신용카드, 벤처",표준 각광 조짐 초점 풍토 개수 외부 완전 부족 플레이어
43,9.0,0.6264,"인터넷, 예금, 증권, 카드, 인도, 계좌, 경로, 모형, 상거래, 인증",증권 컴플라이언스 증권사 자원 벤더 자율 단체 위험 작성 공표
44,5.0,0.684,"데이터, 빅, 중국, 대출, 인공지능, 혁명, 빅데이터, 신용, 금융서비스, 인터넷",유발 금융서비스 부가가치 취업 내생 유도 모형 수요 융합 외생
45,1.0,0.2315,"통화, 중앙은행, 발행, 화폐, 암호자산, 코인, 스테이블, 법정통화, 페이스북, 가상화폐",데이터 디지털 은행 암호자산 통화 지급결제 스마트폰 발행 중앙은행 그때
46,7.0,0.7602,"법, 인공지능, 보험, 책임, 기초, 장래, 거대, 이원, 리, 테일",은행 이원 법 면허 기초 연방 주법 국법 통화 저축
47,4.0,0.8722,"무현금, 오픈, 모바일, 스마트폰, 송금, 이노베이션, 테크놀로지, 우리나라, 신용카드, 벤처",무현금 제언 민관 현금통화 합리 우리나라 주제 개관 차지 경향
48,5.0,0.6737,"데이터, 빅, 중국, 대출, 인공지능, 혁명, 빅데이터, 신용, 금융서비스, 인터넷",은행 오늘날 리더 질문 힘 가속 뒤 장래 센터 은행업
49,8.0,0.7296,"암호화폐, 법, 가상화폐, 비트코인, 분산, 가상통화, 틀, 청구, 역외, 파산",암호화폐 법 파산 논고 반환 위치 청구 무체물 환취 비트코인
50,1.0,0.6112,"통화, 중앙은행, 발행, 화폐, 암호자산, 코인, 스테이블, 법정통화, 페이스북, 가상화폐",디지털 중앙은행 통화 발행 화폐 은행 중개 스웨덴 암호자산 한국은행
51,1.0,0.4017,"통화, 중앙은행, 발행, 화폐, 암호자산, 코인, 스테이블, 법정통화, 페이스북, 가상화폐",암호자산 암호화폐 의무 독일 토큰 리스크 자산 서술 암호 디지털
52,8.0,0.9346,"암호화폐, 법, 가상화폐, 비트코인, 분산, 가상통화, 틀, 청구, 역외, 파산",암호화폐 법 분산 재판 역외 발행자 틀 준거법 배상 청구
53,4.0,0.5881,"무현금, 오픈, 모바일, 스마트폰, 송금, 이노베이션, 테크놀로지, 우리나라, 신용카드, 벤처",스마트폰 프로세스 인터페이스 경영 대두 만족 체질 핀테크 인공지능 키워드
54,1.0,0.2506,"통화, 중앙은행, 발행, 화폐, 암호자산, 코인, 스테이블, 법정통화, 페이스북, 가상화폐",통화 프리미엄 중앙은행 응답자 금액 신용 테스트 저장 가구 화폐
55,8.0,0.5608,"암호화폐, 법, 가상화폐, 비트코인, 분산, 가상통화, 틀, 청구, 역외, 파산",암호화폐 법 비트코인 해석론 네트워크 비밀 성질 물권 통화 보유자
56,3.0,0.4003,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",블록체인 이점 송금 자산 탐색 지탱 실시간 융자 운용 토대
57,0.0,0.2781,"혁신, 한국은행, 네트워크, 자본, 분산원장기술, 단어, 소액결제, 디파이, 자본주의, 노드",블록체인 혁신 통신 데이터 통신업 메일 공개 실제 복합 기쁨
58,5.0,0.2768,"데이터, 빅, 중국, 대출, 인공지능, 혁명, 빅데이터, 신용, 금융서비스, 인터넷",혁신 인터넷 은행 오픈 암호화폐 이노베이션 증권 블록체인 업종 주류
59,3.0,0.6106,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",블록체인 증거 스마트 법 플랫폼 쟁점 제출 계약서 위험 이행
60,4.0,0.3374,"무현금, 오픈, 모바일, 스마트폰, 송금, 이노베이션, 테크놀로지, 우리나라, 신용카드, 벤처",무현금 통화 디지털 중앙은행 고액 선호도 언급 스웨덴 본격 중국
61,0.0,0.4515,"혁신, 한국은행, 네트워크, 자본, 분산원장기술, 단어, 소액결제, 디파이, 자본주의, 노드",혁신 디지털 협업 창조 데이터 오픈 조류 아이디어 차량 형성
62,1.0,0.3856,"통화, 중앙은행, 발행, 화폐, 암호자산, 코인, 스테이블, 법정통화, 페이스북, 가상화폐",지급결제 빅테크 암호화폐 우리나라 핀테크 신속 스테이블 송금 포용 은행
63,3.0,0.3175,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",핀테크 아시아 이니셔티브 노조 결론 사용자 플랫폼 리스크 제언 부
64,4.0,0.3559,"무현금, 오픈, 모바일, 스마트폰, 송금, 이노베이션, 테크놀로지, 우리나라, 신용카드, 벤처",핀테크 융자 딩 렌 플레이스 플러스 차주 매칭 거시경제 대여자
65,0.0,0.6275,"혁신, 한국은행, 네트워크, 자본, 분산원장기술, 단어, 소액결제, 디파이, 자본주의, 노드",디파이 블록체인 혁신 플랫폼 분산 장려 대비 선제 도움 심도
66,7.0,0.5388,"법, 인공지능, 보험, 책임, 기초, 장래, 거대, 이원, 리, 테일",핀테크 보험 디지털 사내 접점 사 신흥 발굴 실천 단말기
67,4.0,0.881,"무현금, 오픈, 모바일, 스마트폰, 송금, 이노베이션, 테크놀로지, 우리나라, 신용카드, 벤처",이성 스마트폰 세대 격차 통계 크기 용이성 모바일 기기 통신사
68,2.0,0.9228,"카드, 발행, 환어음, 전환사채, 카드사, 신주인수권, 추심, 수수료, 가맹점, 응답자",발행 전환사채 신주인수권 사채 부 부사 더미 대주주 채 공시
69,7.0,0.8578,"법, 인공지능, 보험, 책임, 기초, 장래, 거대, 이원, 리, 테일",인공지능 법 책임 이론 인정 윤리 법제도 현대 기준 부합
70,9.0,0.4996,"인터넷, 예금, 증권, 카드, 인도, 계좌, 경로, 모형, 상거래, 인증",이론 교육 면 인터넷 로버트 상거래 파생 머튼 증권 최신
71,3.0,0.6548,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",골프 리스크 디지털 거래소 증대 기초 피스 위치 안전성 요건
72,3.0,0.4722,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",주식 공매도 여대 공정 차입 형평 선입 프로세스 하락 대여자
73,6.0,0.7728,"가상자산, 보안, 사이버, 범죄, 공격, 거래소, 위원회, 자금세탁, 조치, 차원",가상자산 자금세탁 특정금융정보법 거래소 발의 보도 국회 글 최초 작성
74,8.0,0.8077,"암호화폐, 법, 가상화폐, 비트코인, 분산, 가상통화, 틀, 청구, 역외, 파산",법 가상통화 가상화폐 암호화폐 발행자 역외 분산 국경 준거법 분쟁
75,6.0,0.6849,"가상자산, 보안, 사이버, 범죄, 공격, 거래소, 위원회, 자금세탁, 조치, 차원",가상자산 위원회 조치 가상통화 실명 헌법 가상계좌 대책 중단 재판소
76,3.0,0.5073,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",소유 플랫폼 귀속 법 쟁점 결론 이때 스마트 성격 도출
77,1.0,0.6103,"통화, 중앙은행, 발행, 화폐, 암호자산, 코인, 스테이블, 법정통화, 페이스북, 가상화폐",통화 코인 스테이블 발행 페이스북 중앙은행 은행 리브 데이터 의회
78,3.0,0.3274,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",블록체인 암호화폐 상 전력 변경 비트코인 차례 의료 계기 일체
79,5.0,0.8586,"데이터, 빅, 중국, 대출, 인공지능, 혁명, 빅데이터, 신용, 금융서비스, 인터넷",데이터 중국 빅 핀테크 알리바바 인공지능 최첨단 퍼스널 모습 차례
80,5.0,0.4026,"데이터, 빅, 중국, 대출, 인공지능, 혁명, 빅데이터, 신용, 금융서비스, 인터넷",핀테크 가계 출시 어플리케이션 적정 인증 신원 대응책 가속 종래
81,6.0,0.6867,"가상자산, 보안, 사이버, 범죄, 공격, 거래소, 위원회, 자금세탁, 조치, 차원",가상자산 한계점 거래소 소득 문제점 해킹 책정 메이커 시행 지방세
82,1.0,0.5535,"통화, 중앙은행, 발행, 화폐, 암호자산, 코인, 스테이블, 법정통화, 페이스북, 가상화폐",통화 디지털 발행 중앙은행 법 화폐 데이터 자국 은행 전자화폐
83,6.0,0.58,"가상자산, 보안, 사이버, 범죄, 공격, 거래소, 위원회, 자금세탁, 조치, 차원",가상자산 제기 비트코인 요청 입법 사 범죄 악용 위축 자금세탁
84,7.0,0.7323,"법, 인공지능, 보험, 책임, 기초, 장래, 거대, 이원, 리, 테일",인공지능 상행위 자리매김 상인 지능 물 제조 세간 저변 법학
85,7.0,0.7197,"법, 인공지능, 보험, 책임, 기초, 장래, 거대, 이원, 리, 테일",법령 대행업 전자지급결제 책임 언택트 신용카드 취소 현행 도모 전자지급결제대행
86,3.0,0.5619,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",토큰 대체 자산 디지털 소유 한계점 고유 연구자 성격 시
87,3.0,0.5237,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",블록체인 블록 변조 해킹 네트워크 공공 분산 해석 보안 P2P
88,3.0,0.4663,"자산, 비트코인, 리스크, 플랫폼, 위험, 보안, 분산, 토큰, 네트워크, 암호",블록체인 디지털 통화 은행 비트코인 중앙은행 이행 글로벌 네트워크 실험
89,7.0,0.376,"법, 인공지능, 보험, 책임, 기초, 장래, 거대, 이원, 리, 테일",산학 기초 장래 권고 비전 수학 아이덴티티 양식 전심 조지
90,5.0,0.3224,"데이터, 빅, 중국, 대출, 인공지능, 혁명, 빅데이터, 신용, 금융서비스, 인터넷",핀테크 혁신 디지털 대출 빅데이터 공정 빅테크 송금 중소 가속
91,4.0,0.4635,"무현금, 오픈, 모바일, 스마트폰, 송금, 이노베이션, 테크놀로지, 우리나라, 신용카드, 벤처",핀테크 디지털 스타트업 약속 벤처 기호 스마트폰 원천 공감대 트렌드
92,9.0,0.79,"인터넷, 예금, 증권, 카드, 인도, 계좌, 경로, 모형, 상거래, 인증",인도 핀테크 디지털 계좌 본인 생체 인증 인구 개설 플랫
