label,term,tf-idf
인공지능(AI)에 대한 법인격 부여와 법적 책임에 관한 연구 - FinTech 산업에서의 인공지능(AI)의 활용과 법적 책임을 중심으로 -1,인간,0.06988111796860219
암호화폐 및 모바일 결제에서 블록체인의 역할1,과학,0.0695057981274833
모바일 디바이드 세대 격차 결정요인에 관한 연구1,이성,0.06815830551076148
지급결제시스템의 경제적 효과 분석 -금융서비스산업을 중심으로-1,효과,0.0678996447568282
영국의 사이버 금융 보안 대책에 관한 연구1,보안,0.06590779923859064
블록체인 관련 기술의 법적 쟁점에 관한 고찰 -스마트 계약과 토큰 활용을 중심으로-1,증거,0.06534386919703165
미국 증권업계의 RegTech의 이용에 관한 자율규제 정책1,보고서,0.06523137738702309
다양화하는 리테일 결제와 법: Fintech에 의한 다양화하는 리테일 결제 분야에서의 법 정비 상황과 과제1,리,0.06461848457216547
해외 보험회사의 핀테크 활용 대책1,보험,0.06455450164776569
예금 과실지급을 둘러싼 논란과 예금거래의 전자화를 둘러싼 법적 문제의 변용 - 일본에서의 논의를 중심으로 -1,예금,0.06454109826123447
미국 이원은행 제도의 역사적인 전개에 관한 고찰1,은행,0.064266302872819
우리나라 지급결제협의기구 구성방안에 관한 고찰1,지급결제,0.06403380373191908
4차 산업혁명과 금융 데이터산업의 활성화를 위한 정책과제1,빅데이터,0.06346035755204085
신주인수권부사채와 전환사채의 차별적인 발행동기 및 시장반응에 관한 연구: 한국 상장기업을 대상으로1,사채,0.06266621064522492
전자지급결제대행업의 법적 지위와 책임에 대한 검토 -신용카드PG에 관하여-1,지급결제,0.062255618080360856
전자지급결제대행업의 법적 지위와 책임에 대한 검토 -신용카드PG에 관하여-1,택트,0.061584661832058595
NFT의 거래 가능성 및 확장성에 대한 고찰 -대체거래소 연계를 중심으로-1,대체,0.06138529711967967
탈중앙화 가상자산거래소(DEX)의 성장 가능성 및 한계점 -중국 가상자산 규제 및 특정금융정보법 발효를 중심으로-1,한계점,0.06085392420970298
기술발전과 새로운 금융기법 모델의 모색 -일본의 상황을 중심으로-1,무현금,0.060389695089845326
지급결제시스템의 경제적 효과 분석 -금융서비스산업을 중심으로-1,산업,0.057935295188760935
암호화폐에 관한 사법상의 여러 문제와 공법상 감독제도의 고찰1,사법,0.057750556744016614
가상자산 자금세탁방지제도의 개선방안 연구1,세탁,0.0573100783263135
가상자산거래 실명제에 관한 고찰 - 헌법재판소 2021.11.25. 선고 2017헌마1384 결정을 중심으로 -1,조치,0.05711948390261555
가상자산거래 실명제에 관한 고찰 - 헌법재판소 2021.11.25. 선고 2017헌마1384 결정을 중심으로 -1,실명,0.05711948390261555
지급결제시스템의 경제적 효과 분석 -금융서비스산업을 중심으로-1,취업,0.0569585839479603
지급결제시스템의 경제적 효과 분석 -금융서비스산업을 중심으로-1,부가가치,0.0569585839479603
미국 이원은행 제도의 역사적인 전개에 관한 고찰1,면허,0.056289879893975256
공매도의 형평성·공정성 제고 방안에 관한 소고 - 핀테크 서비스 연계를 중심으로1,여대,0.05497966033647528
모바일 디바이드 세대 격차 결정요인에 관한 연구1,세대,0.054526644408609194
공매도의 형평성·공정성 제고 방안에 관한 소고 - 핀테크 서비스 연계를 중심으로1,주식,0.05415258839560865
독일의 암호자산 및 ICO의 감독에 관한 법적 규제1,암호,0.0536314870205355
우리나라 지급결제협의기구 구성방안에 관한 고찰1,지급,0.05273372072040395
미국 증권업계의 RegTech의 이용에 관한 자율규제 정책1,증권,0.052279159386098964
가상자산 자금세탁방지제도의 개선방안 연구1,가상,0.051587371670457204
중앙은행 디지털 통화(CBDC)의 법적 과제1,통화,0.05102562353313633
가상자산 규제의 방향성에 대한 검토1,가상,0.050692488692500294
미국에서 암호화폐의 법률상 지위에 관한 검토1,지위,0.050408847666246495
신주인수권부사채와 전환사채의 차별적인 발행동기 및 시장반응에 관한 연구: 한국 상장기업을 대상으로1,유의,0.05040606434451784
예금 과실지급을 둘러싼 논란과 예금거래의 전자화를 둘러싼 법적 문제의 변용 - 일본에서의 논의를 중심으로 -1,위조,0.050258821333906474
지급결제에서 FinTech로 무현금화의 실현 가능성1,현금,0.05019806882140994
인공지능의 상행위능력과 법인격1,법인격,0.05015929891542349
신주인수권부사채와 전환사채의 차별적인 발행동기 및 시장반응에 관한 연구: 한국 상장기업을 대상으로1,부사,0.05013296851617994
신주인수권부사채와 전환사채의 차별적인 발행동기 및 시장반응에 관한 연구: 한국 상장기업을 대상으로1,더미,0.05013296851617994
신주인수권부사채와 전환사채의 차별적인 발행동기 및 시장반응에 관한 연구: 한국 상장기업을 대상으로1,대주주,0.05013296851617994
탈중앙화 가상자산거래소(DEX)의 성장 가능성 및 한계점 -중국 가상자산 규제 및 특정금융정보법 발효를 중심으로-1,가상,0.04972836728593623
미국에서 암호화폐의 법률상 지위에 관한 검토1,사법,0.049673779045710256
인공지능(AI)에 대한 법인격 부여와 법적 책임에 관한 연구 - FinTech 산업에서의 인공지능(AI)의 활용과 법적 책임을 중심으로 -1,법인격,0.04937708762629408
대체불가능토큰(NFT) 거래 관련 법적 쟁점에 관한 소고1,귀속,0.049185331946191964
중앙은행 디지털 통화(CBDC)의 법적 과제1,논점,0.0489890263910575
탈중앙화 가상자산거래소(DEX)의 성장 가능성 및 한계점 -중국 가상자산 규제 및 특정금융정보법 발효를 중심으로-1,거래소,0.048841912197690955
영국의 핀테크(FinTech) 현황과 중소기업의 사업환경에 미치는 영향1,영국,0.04875911623541399
예금 과실지급을 둘러싼 논란과 예금거래의 전자화를 둘러싼 법적 문제의 변용 - 일본에서의 논의를 중심으로 -1,인출,0.04814356500363311
전자지급결제대행업의 법적 지위와 책임에 대한 검토 -신용카드PG에 관하여-1,전자,0.048033491823688934
영국의 사이버 금융 보안 대책에 관한 연구1,국가,0.04793294490079319
영국의 핀테크(FinTech) 현황과 중소기업의 사업환경에 미치는 영향1,핀테크,0.04728589000038554
미국에서 암호화폐의 법률상 지위에 관한 검토1,업자,0.046184102019722936
신주인수권부사채와 전환사채의 차별적인 발행동기 및 시장반응에 관한 연구: 한국 상장기업을 대상으로1,결과,0.04613665332154865
탈중앙화 가상자산거래소(DEX)의 성장 가능성 및 한계점 -중국 가상자산 규제 및 특정금융정보법 발효를 중심으로-1,중앙,0.046037375232098686
21세기 소비자 금융서비스의 변화 - 개인금융 시대의 도래에 대한 금융정책의 관점에서 -1,세기,0.04598568100264242
중국의 데이터 구동형 금융에 관한 연구1,중국,0.045968120344332467
전자지급결제대행업의 법적 지위와 책임에 대한 검토 -신용카드PG에 관하여-1,책임,0.04549367197702148
"블록체인의 진화, 현황, 그리고 미래 - 미국의 시장상황을 중심으로 -1",블록체인,0.045482658954783935
미국 이원은행 제도의 역사적인 전개에 관한 고찰1,감독,0.04505144294024049
NFT의 거래 가능성 및 확장성에 대한 고찰 -대체거래소 연계를 중심으로-1,확장,0.04464019545753655
정보기술 혁신과 은행업의 변화에 관한 고찰1,상품,0.04430579442187777
오픈뱅킹 성공을 위한 핀테크기업의 지급결제시스템 접근성 향상방안1,지급결제,0.04373879016344897
인공지능(AI)에 대한 법인격 부여와 법적 책임에 관한 연구 - FinTech 산업에서의 인공지능(AI)의 활용과 법적 책임을 중심으로 -1,책임,0.04367569873037637
인공지능(AI)에 대한 법인격 부여와 법적 책임에 관한 연구 - FinTech 산업에서의 인공지능(AI)의 활용과 법적 책임을 중심으로 -1,부여,0.04367569873037637
인공지능(AI)에 대한 법인격 부여와 법적 책임에 관한 연구 - FinTech 산업에서의 인공지능(AI)의 활용과 법적 책임을 중심으로 -1,공존,0.04367569873037637
대체불가능토큰(NFT) 거래 관련 법적 쟁점에 관한 소고1,쟁점,0.04350608436637491
