Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
64,29.0,0.4829,"개정안, 한은, 금융위, 전금법, 청산, 빅테크, 금융결제원, 위원회, 위원장, 한국은행",감시 한은 지침서 원칙 권혜민 리스크 기준 노 한국은행 국제결제은행
65,25.0,0.4163,"온라인, 쇼핑몰, 유통, 롯데, 판매, 쇼핑, 아마존, 오픈마켓, 커머스, 오프라인",카드 블루 넛 카드사 현대 수수료 온라인 사 쇼핑몰 자회사
66,12.0,0.6046,"대출, 토스, 보험, 뱅크, 카카오뱅크, 금리, 인터넷, 인터넷전문은행, 신용, 케이",은행 신용 대출 뱅크 데이터 인터넷 카카오뱅크 전문 예정 금리
67,19.0,0.4644,"데이터, 플랫폼, 혁신, 빅데이터, 마이데이터, 신한, 모바일, 신용, 자산, 인공지능",뱅크 농협은행 아이 시너지 농협 납부 글로벌 계획 모바일 출시
68,19.0,0.4728,"데이터, 플랫폼, 혁신, 빅데이터, 마이데이터, 신한, 모바일, 신용, 자산, 인공지능",뱅크 농협은행 농협 출시 계획 시너지 모바일 버전 플랫폼 납부
69,21.0,0.4626,"채용, 직원, 인력, 경영, 회장, 은행장, 행장, 이사, 인사, 전문",대리 핀테크 은행 은행원 우리은행 출신 중국 부 계장 시절
70,12.0,0.4727,"대출, 토스, 보험, 뱅크, 카카오뱅크, 금리, 인터넷, 인터넷전문은행, 신용, 케이",신용 대출 카카오뱅크 은행 예정 뱅크 데이터 금리 카드 주사
71,30.0,0.6027,"앱, 게임, 구글, 통신, 애플, 콘텐츠, 온라인, 휴대폰, 사, 영업",안드로이드 마이 꿈 시스 카운터 영업 단말기 김소연 체결 저작권자
72,17.0,0.2778,"아시아, 베트남, 현지, 진출, 글로벌, 인도네시아, 캄보디아, 체결, 창, 눈",뱅크 아시아 글로벌 납부 농협은행 농협 강구 베트남 버전 스마트
73,19.0,0.3887,"데이터, 플랫폼, 혁신, 빅데이터, 마이데이터, 신한, 모바일, 신용, 자산, 인공지능",카드 디지털 현대 카드사 롯데카드 글로벌 신한 삼성카드 맞춤 차별
74,18.0,0.3932,"화폐, 중앙은행, 발행, 한국은행, 한은, 통화, 계획, 리브, 유통, 테스트",중앙은행 디지털 혁신 핀테크 지급결제 가상통화 통화 대체 리스크 제기
75,27.0,0.2831,"페이, 앱, 모바일, 카드사, 가맹점, 포인트, 계좌, 신한, 출시, 플랫폼",카드사 페이 모바일 카드 카르텔 신문 상생 핀테크 협상 삼성
76,31.0,0.2799,"돈, 교수, 거, 얘기, 과거, 실제, 전문가, 인터넷, 결국, 고민",변곡점 지급결제 화폐 물물 종이 카드 동전 최초 신용카드 카드사
77,4.0,0.4478,"비트코인, 가상자산, 코인, 암호화폐, 자산, 화폐, 하락, 상승, 채굴, 이날",비트코인 해킹 거래소 화폐 통제 자산 코인 베네수엘라 인도 인원
78,19.0,0.4185,"데이터, 플랫폼, 혁신, 빅데이터, 마이데이터, 신한, 모바일, 신용, 자산, 인공지능",카드 디지털 모바일 현대 핀테크 출시 패러다임 신한 발급 컴퍼니
79,13.0,0.6483,"분기, 상장, 증권, 주가, 대비, 실적, 매출, 주식, 영업, 연구원",상승 코스피 지수 매수 마감 상승세 외국인 코스닥 종목 기대감
80,14.0,0.7007,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",회장 은행 운동장 황 지급결제 법인 허용 증권 금융업 한경
81,14.0,0.8989,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 회장 증권사 운동장 농구 업주 연합 허용 축구 외환
82,14.0,0.945,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 회장 주의 운동장 보험 동아일보 겸업 증권사 협회 증권
83,14.0,0.8824,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 회장 운동장 증권 주장 연합 신탁 신탁업 주의 법
84,14.0,0.8923,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",회장 은행 허용 주의 지급결제 신탁업 초대 증권사 운동장 주장
85,14.0,0.8904,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",회장 은행 신탁업 황 금 법 대결 증권사 자본 운동장
86,13.0,0.6275,"분기, 상장, 증권, 주가, 대비, 실적, 매출, 주식, 영업, 연구원",상승 오름세 외국인 전일 약세 순매도 하만 코스닥 지수 매수
87,33.0,0.6681,"네이버, 카카오페이, 카카오, 페이, 플랫폼, 인수, 진출, 네이버파이낸셜, 자회사, 계열사",카카오 카카오페이 알리페이 지급결제 모바일 유치 김기훈 분사 소식 파트너십
88,13.0,0.4048,"분기, 상장, 증권, 주가, 대비, 실적, 매출, 주식, 영업, 연구원",증거금 거래소 증권사 증권 기준 부담 주식 위험 매매 변동
89,33.0,0.4831,"네이버, 카카오페이, 카카오, 페이, 플랫폼, 인수, 진출, 네이버파이낸셜, 자회사, 계열사",카카오 카카오페이 알리페이 중국 핀테크 신문 알리바바 앤트파이낸셜 플랫폼 혁신
90,1.0,0.2124,"중국, 위안, 알리바바, 알리페이, 위안화, 인민은행, 위챗, 텐센트, 홍콩, 금지",카카오 알리페이 핀테크 중국 플랫폼 신문 건수 액 차지 대출
91,14.0,0.7244,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 신탁업 운동장 법 회장 보험 신탁 주의 금융당국 운용
92,14.0,0.8756,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 회장 운동장 반박 발언 금 협 협회 종합 연합회
93,33.0,0.7277,"네이버, 카카오페이, 카카오, 페이, 플랫폼, 인수, 진출, 네이버파이낸셜, 자회사, 계열사",카카오페이 알리페이 카카오 핀테크 앤트파이낸셜 류 모회사 모바일 영준 체결
94,33.0,0.3813,"네이버, 카카오페이, 카카오, 페이, 플랫폼, 인수, 진출, 네이버파이낸셜, 자회사, 계열사",카카오페이 카카오 핀테크 분사 알리페이 오전 유치 시 상승 소식
95,14.0,0.7642,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 회장 신탁업 협회 증권 씨티 법 신탁 자본 허용
96,14.0,0.884,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 회장 증권 운동장 허용 신탁업 주의 자본 증권사 재산
97,26.0,0.3159,"오픈뱅킹, 계좌, 보안, 오픈, 금융결제원, 조회, 이체, 데일리, 앱, 뱅킹",은행 플랫폼 핀테크 데이터 설계 조회 내역 도면 총무 계좌
98,14.0,0.8472,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",업주 은행 금 겸 회장 협 하영구 반박 황영기 주의
99,17.0,0.5136,"아시아, 베트남, 현지, 진출, 글로벌, 인도네시아, 캄보디아, 체결, 창, 눈",핀테크 농업 아시아 단체 박소연 해커 톤 눈 데이터 낙
100,14.0,0.9144,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 신탁업 운동장 법 회장 증권사 경기 축구 주의 제정
101,24.0,0.2811,"국회, 법, 법안, 위원회, 머지포인트, 통과, 민주당, 위원장, 정무, 사태",로페이 옐 사고 제재 진출 부업 준비금 P2P 대출 금감원
102,6.0,0.3872,"빅테크, 플랫폼, 네이버, 금융사, 계좌, 신용, 후불결제, 진출, 허용, 전자금융거래법",지급결제 보험 허용 사 계좌 은행 수수료 종합 증권 시
103,14.0,0.8588,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 주의 회장 허용 겸업 하영구 금 신탁 종합 장론
104,14.0,0.8348,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",회장 은행 증권사 운동장 신탁 금전 황 허용 반박 언급
105,14.0,0.6387,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 증권사 수수료 금리 허용 배당 주의 신탁 운동장 자본
106,14.0,0.9091,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 운동장 신탁업 주의 증권 경기 회장 증권사 금 겸업
107,14.0,0.7006,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 회장 지급결제 법 허용 신탁업 법인 증권 신탁 독립
108,12.0,0.5142,"대출, 토스, 보험, 뱅크, 카카오뱅크, 금리, 인터넷, 인터넷전문은행, 신용, 케이",은행 인터넷전문은행 분리 은산 완화 공청회 뱅크 케이 신용 정무
109,14.0,0.5958,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 수수료 운동장 증권 신탁 주의 금지 회장 보험 분리
110,14.0,0.7729,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",회장 은행 운동장 황 증권사 지급결제 허용 증권업 신탁 은행장
111,14.0,0.8444,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 회장 운동장 신탁 금전 지급결제 허용 자본 신탁업 법
112,14.0,0.8606,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",회장 은행 황 증권사 허용 운동장 지급결제 증권업 증권 은행장
113,14.0,0.7879,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 운동장 종합 주장 은행업 증권업 금 협 회장 겸업
114,11.0,0.4837,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",금 총재 포시 개최 국회 보도 계영 행사 주간 계획
115,14.0,0.6589,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",회장 자본 은행 발행 어음 증권사 신탁업 간담회 증권 운동장
116,15.0,0.8929,"오전, 시, 장관, 차관, 국회, 산업부, 개최, 농식품부, 환경부, 청사",오전 시 장관 차관 농식품부 청사 해수부 국회 산업부 개최
117,14.0,0.8633,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 운동장 신탁 회장 협회 주의 증권사 허용 금전 주장
118,31.0,0.1441,"돈, 교수, 거, 얘기, 과거, 실제, 전문가, 인터넷, 결국, 고민",오프라인 시스 온라인 수출 지급결제 판교 이제 인수 마련 진입
119,25.0,0.3496,"온라인, 쇼핑몰, 유통, 롯데, 판매, 쇼핑, 아마존, 오픈마켓, 커머스, 오프라인",이베이 코리아 외국환 옥션 마켓 거래법 등록 위반 판매자 대금
120,14.0,0.7532,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 증권 회장 운동장 은행업 황 종합 신탁 경기 환전
121,8.0,0.3218,"모바일, 대비, 신용, 감소, 평균, 금액, 체크카드, 건수, 액, 한국은행",카드 카드사 진출 빅데이터 직불 기준 건수 모색 신용카드 차지
122,19.0,0.2872,"데이터, 플랫폼, 혁신, 빅데이터, 마이데이터, 신한, 모바일, 신용, 자산, 인공지능",핀테크 플랫폼 혁신 스마트 오픈 빅데이터 P2P 자본 금융당국 비판
123,22.0,0.3314,"과세, 소득, 세금, 국세청, 역외, 계좌, 스위프트, 플랫폼, 탈루, 탈세",인테리어 가맹점 카드 공사 대금 무실 소득세 업종 대선 건자재
124,15.0,0.8464,"오전, 시, 장관, 차관, 국회, 산업부, 개최, 농식품부, 환경부, 청사",김윤지 증권 재정 청사 한국은행 국회 투자가 행사 미디어 외화
125,15.0,0.8311,"오전, 시, 장관, 차관, 국회, 산업부, 개최, 농식품부, 환경부, 청사",증권 청사 국회 한국은행 재정 김윤지 세종 오전 점검 헬스
126,11.0,0.4478,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",부동산 가계 부채 돈 은행 외환 금리 빚 어음 증권
127,30.0,0.3752,"앱, 게임, 구글, 통신, 애플, 콘텐츠, 온라인, 휴대폰, 사, 영업",디지털 꿈 안드로이드 헬스 케어 라이프 한미 그래프 건강 시스
128,13.0,0.7847,"분기, 상장, 증권, 주가, 대비, 실적, 매출, 주식, 영업, 연구원",전날 마감 이날 상승 주가 연구원 지수 삼성증권 종목 심리
129,11.0,0.5082,"통화, 총재, 금리, 한국은행, 한은, 가계, 물가, 부채, 중앙은행, 경기",물가 한은 발행 통계 완화 기념 지급결제 상승 아시아 금리
130,14.0,0.9775,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 운동장 주의 회장 신탁업 간담회 주장 하영구 완화 법
131,14.0,0.8503,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",은행 금 신탁업 운동장 협 회장 종합 겸업 주장 주의
132,14.0,0.8021,"증권사, 증권, 회장, 자본, 허용, 협회, 펀드, 법인, 운용, 금",운동장 은행 동아일보 싸움 회장 반박 밥그릇 강조 협회 발언
133,12.0,0.5947,"대출, 토스, 보험, 뱅크, 카카오뱅크, 금리, 인터넷, 인터넷전문은행, 신용, 케이",은행 인터넷전문은행 분리 은산 대출 뱅크 카카오뱅크 완화 인터넷 금리
134,3.0,0.5188,"블록체인, 인증, 삼성, 플랫폼, 보안, 글로벌, 네트워크, 물류, 스마트, 분산",바이오 인증 지문 유출 은행 사고 부장 홍채 아이 다중
135,0.0,0.4439,"혁신, 금융위, 위원회, 심사, 마련, 계획, 지정, 법, 시행, 신청",등록 자본금 소규모 전자금융업자 대행업 사 전자지급결제 프리 핀테크 아이디어
136,16.0,0.4323,"송금, 환전, 계좌, 대금, 수수료, 금액, 외환, 소액, 충전, 외화",소액 제재 위반 등록 감경 송금 행정 겸영 전자지급결제대행 한도
137,16.0,0.4177,"송금, 환전, 계좌, 대금, 수수료, 금액, 외환, 소액, 충전, 외화",송금 외환 소액 신고 위반 등록 수령 외국환 금액 은행
138,16.0,0.4478,"송금, 환전, 계좌, 대금, 수수료, 금액, 외환, 소액, 충전, 외화",송금 수수료 은행 모바일 뱅크 머니그램 계좌 실시간 돈 금액
139,16.0,0.6005,"송금, 환전, 계좌, 대금, 수수료, 금액, 외환, 소액, 충전, 외화",외국환 소액 송금 등록 외환 개정안 법령 입법 거래법 한도
140,16.0,0.373,"송금, 환전, 계좌, 대금, 수수료, 금액, 외환, 소액, 충전, 외화",외환 시행 송금 외국환 소액 하위 신고 거래법 개정안 법령
141,27.0,0.3277,"페이, 앱, 모바일, 카드사, 가맹점, 포인트, 계좌, 신한, 출시, 플랫폼",계좌 은행 수수료 망 신한은행 코드 이체 앱 가맹점 물품
142,18.0,0.4334,"화폐, 중앙은행, 발행, 한국은행, 한은, 통화, 계획, 리브, 유통, 테스트",블록체인 한국은행 발행 디지털 제안 화폐 중앙은행 거액 지급결제 실제
143,33.0,0.4025,"네이버, 카카오페이, 카카오, 페이, 플랫폼, 인수, 진출, 네이버파이낸셜, 자회사, 계열사",인수 계열사 시스 모바일 빌리 염 트 대선 코리아 본사
144,13.0,0.4159,"분기, 상장, 증권, 주가, 대비, 실적, 매출, 주식, 영업, 연구원",카카오 매출 광고 알리페이 카카오페이 실적 연구원 게임 주가 증권
145,33.0,0.3829,"네이버, 카카오페이, 카카오, 페이, 플랫폼, 인수, 진출, 네이버파이낸셜, 자회사, 계열사",인수 계열사 치킨 작년 체인 흥부 진출 인하 경영 흥
146,33.0,0.4338,"네이버, 카카오페이, 카카오, 페이, 플랫폼, 인수, 진출, 네이버파이낸셜, 자회사, 계열사",인수 외식 프랜차이즈 계열사 매각 지분 코리아 두산 서브 진출
147,33.0,0.4162,"네이버, 카카오페이, 카카오, 페이, 플랫폼, 인수, 진출, 네이버파이낸셜, 자회사, 계열사",동아일보 계열사 모바일 계획 앳 인수 빅데이터 사모 영상 무단
